Date,Year,Day,Month,GroundName,Cost,TotalCustomers
1,2012,Monday,January,Ground1,905,13
2,2012,Thursday,January,Ground1,845,12
3,2012,Saturday,January,Ground1,500,9
4,2012,Friday,January,Ground1,755,12
5,2012,Sunday,January,Ground1,855,14
6,2012,Tuesday,January,Ground1,490,7
7,2012,Monday,January,Ground1,920,13
8,2012,Saturday,January,Ground1,950,15
9,2012,Monday,January,Ground1,605,10
10,2012,Sunday,January,Ground1,1040,15
11,2012,Monday,January,Ground1,790,12
12,2012,Sunday,January,Ground1,620,10
13,2012,Saturday,January,Ground1,780,14
14,2012,Monday,January,Ground1,825,13
15,2012,Saturday,January,Ground1,895,16
16,2012,Wednesday,January,Ground1,610,11
17,2012,Wednesday,January,Ground1,355,6
18,2012,Sunday,January,Ground1,675,10
19,2012,Thursday,January,Ground1,820,13
20,2012,Wednesday,January,Ground1,965,15
21,2012,Monday,January,Ground1,680,12
22,2012,Friday,January,Ground1,925,14
23,2012,Saturday,January,Ground1,685,10
24,2012,Sunday,January,Ground1,715,12
25,2012,Wednesday,January,Ground1,815,14
26,2012,Wednesday,January,Ground1,700,13
27,2012,Wednesday,January,Ground1,1120,15
28,2012,Monday,January,Ground1,785,12
29,2012,Friday,January,Ground1,550,8
30,2012,Monday,January,Ground1,845,13
1,2012,Tuesday,February,Ground1,1255,18
2,2012,Sunday,February,Ground1,1190,20
3,2012,Tuesday,February,Ground1,1265,19
4,2012,Wednesday,February,Ground1,1245,20
5,2012,Friday,February,Ground1,1235,18
6,2012,Friday,February,Ground1,905,15
7,2012,Monday,February,Ground1,855,13
8,2012,Saturday,February,Ground1,1320,21
9,2012,Saturday,February,Ground1,1385,21
10,2012,Friday,February,Ground1,975,17
11,2012,Tuesday,February,Ground1,845,15
12,2012,Monday,February,Ground1,1320,20
13,2012,Wednesday,February,Ground1,1060,17
14,2012,Monday,February,Ground1,905,15
15,2012,Monday,February,Ground1,750,14
16,2012,Saturday,February,Ground1,1610,24
17,2012,Sunday,February,Ground1,1010,18
18,2012,Saturday,February,Ground1,1315,22
19,2012,Monday,February,Ground1,1135,16
20,2012,Sunday,February,Ground1,1320,20
21,2012,Monday,February,Ground1,1325,18
22,2012,Thursday,February,Ground1,1185,16
23,2012,Wednesday,February,Ground1,1195,18
24,2012,Wednesday,February,Ground1,1225,18
25,2012,Saturday,February,Ground1,1165,18
26,2012,Tuesday,February,Ground1,1215,19
27,2012,Thursday,February,Ground1,1200,16
28,2012,Monday,February,Ground1,1045,17
29,2012,Wednesday,February,Ground1,1220,19
30,2012,Tuesday,February,Ground1,1315,18
1,2012,Wednesday,March,Ground1,1160,17
2,2012,Friday,March,Ground1,1170,19
3,2012,Saturday,March,Ground1,1235,18
4,2012,Saturday,March,Ground1,1550,23
5,2012,Saturday,March,Ground1,1170,19
6,2012,Thursday,March,Ground1,885,15
7,2012,Monday,March,Ground1,1185,18
8,2012,Thursday,March,Ground1,695,13
9,2012,Thursday,March,Ground1,1230,18
10,2012,Wednesday,March,Ground1,1045,15
11,2012,Monday,March,Ground1,1325,17
12,2012,Thursday,March,Ground1,1045,17
13,2012,Saturday,March,Ground1,960,17
14,2012,Monday,March,Ground1,1015,16
15,2012,Tuesday,March,Ground1,995,16
16,2012,Wednesday,March,Ground1,1225,20
17,2012,Tuesday,March,Ground1,1360,18
18,2012,Saturday,March,Ground1,1140,19
19,2012,Sunday,March,Ground1,990,17
20,2012,Saturday,March,Ground1,1215,18
21,2012,Monday,March,Ground1,945,14
22,2012,Sunday,March,Ground1,1290,20
23,2012,Thursday,March,Ground1,1175,19
24,2012,Saturday,March,Ground1,940,16
25,2012,Friday,March,Ground1,780,13
